"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00226757512147,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.10311436057,0.1036615,0.109806314307988,1001,0.95,0.0375479,0.164809,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.14756142533333,1.15172,1.15594818095825,35.5,0.95,1.00594,1.29792,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.00723503579426667,0.007241785,0.00739253643142156,711.5,0.95,0.000188995,0.0139088,NA,NA,NA,NA,NA,NA,NA
"beta[4]",8.51744945333333,8.501795,8.43648119591549,55.2,0.95,7.19328,10.0649,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.39796720666667,6.40391,6.47731156142995,110.5,0.95,5.08235,7.59839,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0383334968126667,0.03853695,0.0408212070012731,1001,0.95,0.0139587,0.0612689,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.341242570666667,0.342479,0.343736711752397,35.5,0.95,0.29913,0.385955,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.022326830866,0.02234765,0.0228128683144536,711.5,0.95,0.000583224,0.0429216,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.192711189333333,0.192357,0.190878928214817,55.2,0.95,0.162751,0.227723,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.1407873402,0.140918,0.142533313421708,110.5,0.95,0.111837,0.167203,NA,NA,NA,NA,NA,NA,NA
"tau",609.912314,610.2205,603.367660365361,33.6,0.95,489.102,728.28,NA,NA,NA,NA,NA,NA,NA
"zVar",1.53112728,1.5319,1.51469935653251,33.6,0.95,1.22785,1.82828,NA,NA,NA,NA,NA,NA,NA
"pred[1]",29.0695952666667,29.09525,28.8093115515922,34.2,0.95,25.4673,33.0218,NA,NA,NA,NA,NA,NA,NA
"pred[2]",23.1686464666667,23.24355,23.2979897875218,49.7,0.95,20.0492,26.2865,NA,NA,NA,NA,NA,NA,NA
"pred[3]",33.8684749333333,33.9269,34.3671294574906,37.9,0.95,29.2979,38.0267,NA,NA,NA,NA,NA,NA,NA
"pred[4]",31.1666587333333,31.19745,31.1606778405671,34.3,0.95,27.3053,35.1334,NA,NA,NA,NA,NA,NA,NA
"pred[5]",35.5921730666667,35.6751,36.2039624117521,37.2,0.95,31.0409,40.0414,NA,NA,NA,NA,NA,NA,NA
"pred[6]",27.583087,27.57,27.1769137270065,35.1,0.95,24.0278,31.1676,NA,NA,NA,NA,NA,NA,NA
"pred[7]",25.4582042,25.4968,25.586114169334,36.4,0.95,21.8564,28.3987,NA,NA,NA,NA,NA,NA,NA
"pred[8]",29.0651883333333,29.0861,28.915649081941,34.3,0.95,25.1683,32.7088,NA,NA,NA,NA,NA,NA,NA
"pred[9]",26.6938259333333,26.72405,26.7702073057512,36,0.95,22.9506,29.7473,NA,NA,NA,NA,NA,NA,NA
"pred[10]",25.5409923333333,25.52805,25.317053542642,50.8,0.95,21.7239,28.9732,NA,NA,NA,NA,NA,NA,NA
