"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",433.883410517896,433.466,435.412910954317,2356.8,0.95,387.542,480.086,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-14.2005186762647,-14.2034,-14.2123567067455,4355.1,0.95,-14.518,-13.8362,NA,NA,NA,NA,NA,NA,NA
"beta[2]",23.4922356128774,23.4999,23.5246408889733,5001,0.95,22.7122,24.2865,NA,NA,NA,NA,NA,NA,NA
"beta[3]",5.79931710094381,5.78788,5.79080661958425,5001,0.95,0.536658,11.3457,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.210009959008198,-0.209998,-0.20964593035056,5001,0.95,-0.217722,-0.203137,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.22625149990002,6.23113,6.20971630079202,4656.2,0.95,3.23213,9.24858,NA,NA,NA,NA,NA,NA,NA
"beta[6]",894.519850429914,893.648,888.820804947676,946.8,0.95,758.105,1038.76,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.072604185225155,0.0717228,0.0561035668316766,5001,0.95,-0.194506,0.342248,NA,NA,NA,NA,NA,NA,NA
"beta[8]",962.818286142771,962.424,956.933427013465,1187.3,0.95,817.949,1106.38,NA,NA,NA,NA,NA,NA,NA
"zbeta0",21.6621848230354,21.6413,21.7385589877395,2356.8,0.95,19.3485,23.9689,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-5.28109122375525,-5.28216,-5.2854945887799,4355,0.95,-5.39917,-5.1456,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",6.93487449510098,6.93714,6.9444340950433,5001,0.95,6.7046,7.16933,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.421921476641272,0.42109,0.42130142435026,5001,0.95,0.0390438,0.825444,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.647108152969406,-0.647072,-0.645985678506542,5001,0.95,-0.670871,-0.625931,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.621699384783043,0.622187,0.620049577006714,4656.2,0.95,0.322732,0.923483,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",20.1489363727255,20.1293,20.0205166863433,946.8,0.95,17.0762,23.3979,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0245759698503179,0.0242776,0.0189908650816653,5001,0.95,-0.0658389,0.115848,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",21.0956697060588,21.087,20.9666998685254,1187.3,0.95,17.9215,24.2411,NA,NA,NA,NA,NA,NA,NA
"tau",14463444.6710658,14404200,14139997.2176392,844.3,0.95,11523000,17463500,NA,NA,NA,NA,NA,NA,NA
"zVar",36052.0656268746,35904.3,35245.8362368609,844.3,0.95,28722.6,43530,NA,NA,NA,NA,NA,NA,NA
"pred[1]",1903.29776644671,1903.66,1907.69157294867,878.8,0.95,1747.91,2062.59,NA,NA,NA,NA,NA,NA,NA
"pred[2]",1904.55216956609,1904.87,1909.02917076906,878.8,0.95,1749.14,2063.66,NA,NA,NA,NA,NA,NA,NA
"pred[3]",1911.9374765047,1912.04,1916.93950224184,879.1,0.95,1755.05,2069.75,NA,NA,NA,NA,NA,NA,NA
"pred[4]",1912.06015196961,1912.17,1916.77986316725,879.3,0.95,1757.3,2072.13,NA,NA,NA,NA,NA,NA,NA
"pred[5]",1905.81385322935,1905.96,1911.06291751158,878.8,0.95,1749.31,2063.99,NA,NA,NA,NA,NA,NA,NA
"pred[6]",2867.06514697061,2866.25,2848.47846627674,837.5,0.95,2599.57,3143.07,NA,NA,NA,NA,NA,NA,NA
"pred[7]",2868.25849030194,2867.58,2849.98181352974,837.3,0.95,2599.25,3144.68,NA,NA,NA,NA,NA,NA,NA
"pred[8]",2926.29237352529,2926.53,2909.49235456203,839.2,0.95,2642.31,3189.13,NA,NA,NA,NA,NA,NA,NA
