"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",0,0,-0.000961903473743198,0,0.95,0,0,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-11.8021466906619,-11.7986,-11.787890843168,193.1,0.95,-12.0662,-11.5448,NA,NA,NA,NA,NA,NA,NA
"beta[2]",27.351725834833,27.355,27.3656230842297,286.6,0.95,26.651,28.0462,NA,NA,NA,NA,NA,NA,NA
"beta[3]",22.7515137372525,22.7202,21.9180474617398,759.7,0.95,17.4106,27.9815,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.209478289542092,-0.209451,-0.208740065531853,5001,0.95,-0.217148,-0.202643,NA,NA,NA,NA,NA,NA,NA
"beta[5]",25.587475764847,25.5919,25.9013382404391,254.8,0.95,22.9879,28.1167,NA,NA,NA,NA,NA,NA,NA
"beta[6]",683.158099580084,680.859,674.041616796877,591.5,0.95,550.655,825.772,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.288250958023995,0.285937,0.249754939167586,3977,0.95,0.011306,0.542635,NA,NA,NA,NA,NA,NA,NA
"beta[8]",662.930334933013,660.963,654.876201767525,672,0.95,531.577,811.113,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-4.38915036192761,-4.38784,-4.38384895777435,193.1,0.95,-4.48735,-4.29343,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",8.07419054189162,8.07517,8.07829700962751,286.6,0.95,7.86735,8.27921,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.65525566506699,1.65298,1.59461933137789,759.7,0.95,1.26669,2.03576,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.645469888022395,-0.645384,-0.643194505429573,5001,0.95,-0.669135,-0.624438,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",2.55494293941212,2.55538,2.58628458982203,254.8,0.95,2.29537,2.80749,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",15.3880421375725,15.3363,15.1826950283005,591.5,0.95,12.4034,18.6004,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0975707752625275,0.0967875,0.0845403463459048,3977,0.95,0.00382698,0.183678,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",14.5250259408118,14.4819,14.34854326579,672,0.95,11.647,17.7718,NA,NA,NA,NA,NA,NA,NA
"tau",7026651.89362128,6971140,6923308.42307871,535.2,0.95,5217960,8961580,NA,NA,NA,NA,NA,NA,NA
"zVar",17514.8676464707,17376.5,17257.2920266564,535.2,0.95,13006.5,22337.9,NA,NA,NA,NA,NA,NA,NA
"pred[1]",1468.81037992402,1466.68,1455.46551626475,543.9,0.95,1325.92,1611.17,NA,NA,NA,NA,NA,NA,NA
"pred[2]",1469.49366326735,1467.33,1456.15036286805,544.1,0.95,1328.41,1613.57,NA,NA,NA,NA,NA,NA,NA
"pred[3]",1467.80876624675,1465.28,1455.20161928617,549.5,0.95,1325.48,1609.86,NA,NA,NA,NA,NA,NA,NA
"pred[4]",1466.45024995001,1463.99,1453.95246260998,550.7,0.95,1324.49,1608.63,NA,NA,NA,NA,NA,NA,NA
"pred[5]",1464.74197760448,1462.46,1451.79336229601,547.8,0.95,1322.16,1606.48,NA,NA,NA,NA,NA,NA,NA
"pred[6]",2117.84178764247,2114.73,2103.01695913761,482.2,0.95,1851.85,2382.16,NA,NA,NA,NA,NA,NA,NA
"pred[7]",2122.24932813437,2119.25,2106.80690760881,481.6,0.95,1854.59,2385.47,NA,NA,NA,NA,NA,NA,NA
"pred[8]",2237.78591481704,2234.15,2225.7998260938,471,0.95,1967.94,2501.52,NA,NA,NA,NA,NA,NA,NA
