"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00357797759864,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",435.12162430056,435.116,437.751669698907,1258.6,0.95,388.568,479.645,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-14.2113667865707,-14.2094,-14.2008402042038,2502,0.95,-14.5475,-13.8685,NA,NA,NA,NA,NA,NA,NA
"beta[2]",23.4825901278977,23.4739,23.4332915758163,2305.2,0.95,22.6702,24.2408,NA,NA,NA,NA,NA,NA,NA
"beta[3]",5.98807034988809,6.03032,6.29273892795669,2502,0.95,0.666816,11.4278,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.209957153876898,-0.2098925,-0.209823752600563,2665,0.95,-0.217117,-0.203021,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.19438606554756,6.199995,6.25094046035601,2502,0.95,3.14179,9.31309,NA,NA,NA,NA,NA,NA,NA
"beta[6]",896.253361710631,894.78,883.104168881157,460.5,0.95,757.416,1035.83,NA,NA,NA,NA,NA,NA,NA
"beta[7]",963.069806554756,962.1685,973.868582938641,536.4,0.95,826.407,1111.83,NA,NA,NA,NA,NA,NA,NA
"zbeta0",21.7240041167066,21.7237,21.8552664373609,1258.6,0.95,19.3998,23.9469,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-5.28512559952038,-5.2844,-5.28120372914859,2502,0.95,-5.41014,-5.15761,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",6.9320270383693,6.929465,6.91746807983608,2305.2,0.95,6.69221,7.15585,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.435653998061151,0.4387275,0.45782047949468,2502,0.95,0.0485133,0.831415,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.646945438848921,-0.6467455,-0.64653382137207,2665,0.95,-0.669008,-0.625572,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.618517550159872,0.6190775,0.62416715792156,2502,0.95,0.313712,0.929924,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",20.1879835731415,20.1548,19.8918084504907,460.5,0.95,17.0607,23.332,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",21.1011817745803,21.08145,21.3378450894193,536.4,0.95,18.1068,24.3607,NA,NA,NA,NA,NA,NA,NA
"tau",14526076.2589928,14480050,14340668.5661874,355.3,0.95,11529000,17465700,NA,NA,NA,NA,NA,NA,NA
"zVar",36208.1818145484,36093.5,35745.979767497,355.3,0.95,28737.5,43535.6,NA,NA,NA,NA,NA,NA,NA
"pred[1]",1906.13168265388,1904.935,1919.63785110791,441.2,0.95,1758.21,2065.02,NA,NA,NA,NA,NA,NA,NA
