"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00226757512147,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",499.263974,499.336,497.918555531103,465.8,0.95,447.18,551.568,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-14.3071228,-14.30615,-14.2497130917522,1305.1,0.95,-14.6599,-13.9538,NA,NA,NA,NA,NA,NA,NA
"beta[2]",23.6630136,23.65665,23.5529785739245,1237.8,0.95,22.8543,24.4604,NA,NA,NA,NA,NA,NA,NA
"beta[3]",6.8977871882,6.94755,7.75746813478513,1161.6,0.95,1.41803,12.136,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.209889200666667,-0.2098835,-0.210390687352281,1500,0.95,-0.216864,-0.202666,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.42167644666667,6.456795,6.64065964197361,1080.9,0.95,3.42912,9.59449,NA,NA,NA,NA,NA,NA,NA
"beta[6]",1801.76893333333,1801.29,1805.71427457315,867.3,0.95,1745.77,1859.94,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.0794385063966667,0.08342275,0.0997201460237997,1269,0.95,-0.188632,0.355125,NA,NA,NA,NA,NA,NA,NA
"beta[8]",1907.68869333333,1908.02,1907.35491778247,1243,0.95,1849.79,1976.94,NA,NA,NA,NA,NA,NA,NA
"zbeta0",24.9263915333333,24.93,24.8592011577437,465.8,0.95,22.326,27.5378,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-5.3207371,-5.320365,-5.29937496622488,1305.1,0.95,-5.45194,-5.18934,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",6.98528816666667,6.98341,6.95280957500431,1237.8,0.95,6.74655,7.22068,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.501839177133333,0.5054595,0.564384638028334,1161.6,0.95,0.103167,0.882936,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.646736026666667,-0.6467185,-0.648280434372135,1500,0.95,-0.668229,-0.624481,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.641212812666667,0.6447195,0.663078892764112,1080.9,0.95,0.342402,0.958023,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",40.5845967333333,40.5738,40.6733946090852,867.3,0.95,39.3232,41.8948,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0268893338284,0.02823795,0.0337544073173253,1269,0.95,-0.0638505,0.120207,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",41.7980944,41.80525,41.7908302808489,1243,0.95,40.5295,43.3155,NA,NA,NA,NA,NA,NA,NA
"tau",39822823.8,39765650,39698357.7560163,312.1,0.95,36360400,42754800,NA,NA,NA,NA,NA,NA,NA
"zVar",99263.6963333333,99121.1,98953.4644450545,312.1,0.95,90633.2,106572,NA,NA,NA,NA,NA,NA,NA
"pred[1]",2882.41020666667,2882.23,2883.78957213657,549.3,0.95,2804.05,2956.49,NA,NA,NA,NA,NA,NA,NA
"pred[2]",2883.63394666667,2883.51,2885.07306000671,548.7,0.95,2805.59,2957.92,NA,NA,NA,NA,NA,NA,NA
"pred[10]",3124.85436666667,3124.705,3124.92005898409,604.4,0.95,3050.1,3203.97,NA,NA,NA,NA,NA,NA,NA
"pred[20]",2930.53444,2930.31,2932.05617368497,592.5,0.95,2854.94,3008.07,NA,NA,NA,NA,NA,NA,NA
"pred[30]",2935.26385333333,2936.17,2935.95095226295,713.1,0.95,2847.59,3015.7,NA,NA,NA,NA,NA,NA,NA
"pred[40]",2897.89738666667,2898.055,2894.91282282257,772.8,0.95,2809.44,2976.63,NA,NA,NA,NA,NA,NA,NA
"pred[50]",952.802090666667,953.4195,954.775629479117,612.1,0.95,902.393,999.6,NA,NA,NA,NA,NA,NA,NA
"pred[60]",924.341561333333,924.8925,926.71474273506,608.4,0.95,874.461,972.168,NA,NA,NA,NA,NA,NA,NA
"pred[70]",939.520305333333,939.7135,941.170287083928,636.5,0.95,888.629,987.09,NA,NA,NA,NA,NA,NA,NA
