"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99735223073009,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.101926927235028,0.101273,0.102523160869334,6294,0.95,0.0429943,0.164838,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.14650974634249,1.14204,1.14816038637984,778.6,0.95,0.957096,1.35311,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.00749068908808546,0.00741884,0.00716664242530451,8850.4,0.95,0.000289736,0.0146785,NA,NA,NA,NA,NA,NA,NA
"beta[4]",8.52289855278392,8.49349,8.41645459406636,924.2,0.95,6.87344,10.1888,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.41807789811599,6.39094,6.32906129645655,1201.3,0.95,5.03763,7.95868,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0378920610925166,0.037649,0.0381136570610645,6294,0.95,0.0159834,0.0612797,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.340929843911167,0.339599,0.341420633633356,778.6,0.95,0.284605,0.402364,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.0231157584050205,0.022894,0.0221157539024637,8850.4,0.95,0.000894105,0.0452968,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.19283448710662,0.192169,0.190426575292613,924.2,0.95,0.155515,0.230527,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.141229878075992,0.140633,0.139271269885005,1201.3,0.95,0.110853,0.175131,NA,NA,NA,NA,NA,NA,NA
"tau",610.714944742659,605.195,588.925698837583,751.3,0.95,454.787,771.209,NA,NA,NA,NA,NA,NA,NA
"zVar",1.53314225849911,1.51928,1.47844213506778,751.3,0.95,1.1417,1.93605,NA,NA,NA,NA,NA,NA,NA
"pred[1]",29.0958150299968,28.9863,28.782402365071,790.9,0.95,24.1361,33.8441,NA,NA,NA,NA,NA,NA,NA
"pred[2]",23.2021054731081,23.1172,22.6539396406028,791,0.95,19.2534,27.3506,NA,NA,NA,NA,NA,NA,NA
"pred[3]",33.8712361119882,33.7405,33.4965581243857,768.1,0.95,28.3775,39.7014,NA,NA,NA,NA,NA,NA,NA
"pred[4]",31.1551110725187,31.0362,30.7678475139876,751.6,0.95,26.0606,36.6299,NA,NA,NA,NA,NA,NA,NA
"pred[5]",35.5628421429323,35.4239,34.9641705072745,768.8,0.95,29.7667,41.74,NA,NA,NA,NA,NA,NA,NA
"pred[6]",27.6154775813072,27.5091,27.2749333689984,800.3,0.95,22.91,32.2017,NA,NA,NA,NA,NA,NA,NA
"pred[7]",25.4438015261551,25.3581,25.4331402095313,769.9,0.95,21.2582,29.8853,NA,NA,NA,NA,NA,NA,NA
"pred[8]",29.0905821597727,28.9824,28.7803128877676,793.3,0.95,24.079,33.7867,NA,NA,NA,NA,NA,NA,NA
"pred[9]",26.6760591095674,26.585,26.6522222706389,767.4,0.95,22.3335,31.3946,NA,NA,NA,NA,NA,NA,NA
"pred[10]",25.5345532891275,25.438,25.4694321780543,791.2,0.95,20.8032,29.8735,NA,NA,NA,NA,NA,NA,NA
