"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00357797759864,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.101009312601918,0.100465,0.100014952072434,1176.8,0.95,0.0404861,0.163154,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.13265032254197,1.12767,1.11914043017351,44.8,0.95,0.936972,1.33006,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.00738430633161471,0.0073607,0.00821054248733265,1773.4,0.95,0.000430371,0.014614,NA,NA,NA,NA,NA,NA,NA
"beta[4]",8.42266572741807,8.365,8.18496835230168,68.6,0.95,6.68667,9.98832,NA,NA,NA,NA,NA,NA,NA
"beta[5]",6.34161634692246,6.30893,6.2354650788672,82.3,0.95,4.8594,7.79434,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0375509295403677,0.0373485,0.0371812960292132,1176.8,0.95,0.015051,0.0606538,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.336808566746603,0.335328,0.332791142376462,44.8,0.95,0.278621,0.39551,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.022787469878777,0.02271465,0.0253371882344832,1773.4,0.95,0.0013281,0.0450979,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.19056667146283,0.189262,0.185188944352871,68.6,0.95,0.151289,0.22599,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.139547345443645,0.138828,0.137211444169552,82.3,0.95,0.106931,0.171515,NA,NA,NA,NA,NA,NA,NA
"tau",599.44287529976,594.138,584.721309597319,52.4,0.95,444.414,755.437,NA,NA,NA,NA,NA,NA,NA
"zVar",1.50484472941647,1.491525,1.4678902633384,52.4,0.95,1.11566,1.89645,NA,NA,NA,NA,NA,NA,NA
"pred[1]",34.3332041966427,34.1895,33.9139797675053,51.5,0.95,28.4517,40.0678,NA,NA,NA,NA,NA,NA,NA
"pred[2]",21.2970705835332,21.19645,21.0490508477686,50.6,0.95,17.8299,25.13,NA,NA,NA,NA,NA,NA,NA
"pred[3]",33.4587721023181,33.32815,32.9808091956512,49.6,0.95,27.5464,38.7957,NA,NA,NA,NA,NA,NA,NA
"pred[4]",29.6902069544365,29.55915,29.3335174474499,44.8,0.95,24.5595,34.8596,NA,NA,NA,NA,NA,NA,NA
"pred[5]",22.475574980016,22.3807,22.2801853764618,55.7,0.95,18.6974,26.748,NA,NA,NA,NA,NA,NA,NA
"pred[6]",42.9351199440448,42.8317,43.0091600811617,53.5,0.95,35.7074,50.2172,NA,NA,NA,NA,NA,NA,NA
"pred[7]",25.4600914468425,25.3729,25.3032671760559,53.9,0.95,21.3488,29.9595,NA,NA,NA,NA,NA,NA,NA
"pred[8]",28.1623507993605,28.04575,27.8058326223721,45.9,0.95,23.5155,32.9994,NA,NA,NA,NA,NA,NA,NA
"pred[9]",8.59240435651479,8.556155,8.51273827682019,44.1,0.95,7.0741,10.0228,NA,NA,NA,NA,NA,NA,NA
"pred[10]",21.3057422861711,21.21355,21.0000064723459,54.8,0.95,17.8329,25.1019,NA,NA,NA,NA,NA,NA,NA
