"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",597.805770645871,597.715,598.362546990051,524.9,0.95,566.397,630.965,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-12.9188605078984,-12.9189,-12.9506568319772,1764.9,0.95,-13.2473,-12.5937,NA,NA,NA,NA,NA,NA,NA
"beta[2]",20.6016898420316,20.5969,20.5736941141183,2225.1,0.95,19.9025,21.3723,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-5.17051529336133,-5.18848,-5.23098449806965,3397,0.95,-8.99145,-1.41699,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.212420054389122,-0.212452,-0.212708076848175,5001,0.95,-0.219427,-0.204807,NA,NA,NA,NA,NA,NA,NA
"beta[5]",5.5695938770246,5.5748,5.69639152387999,1771.6,0.95,2.75225,8.1752,NA,NA,NA,NA,NA,NA,NA
"beta[6]",159.443940811838,159.385,157.995250939082,1157.9,0.95,139.505,181.773,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.0482712882708658,0.0493799,0.0510167619950667,4772.3,0.95,-0.227797,0.296396,NA,NA,NA,NA,NA,NA,NA
"beta[8]",155.980016196761,155.937,156.280184298405,2523.6,0.95,137.566,173.625,NA,NA,NA,NA,NA,NA,NA
"zbeta0",29.8462180363927,29.8417,29.8740516993943,524.9,0.95,28.2781,31.5017,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-4.8044500919816,-4.80446,-4.81628787542604,1764.9,0.95,-4.92659,-4.68354,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",6.08158945810838,6.08019,6.07332424262786,2225.1,0.95,5.8752,6.30907,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.376173859868026,-0.377481,-0.380575198797287,3397,0.95,-0.65416,-0.103091,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.654534420315937,-0.654633,-0.655422504862735,5001,0.95,-0.676126,-0.631077,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.556131248090382,0.556651,0.568793699680975,1771.6,0.95,0.274816,0.816305,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",3.59145272545491,3.59012,3.55881433956143,1157.9,0.95,3.14232,4.09442,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0163394654208758,0.0167147,0.0172685321937268,4772.3,0.95,-0.0771077,0.100328,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",3.41757415716857,3.41663,3.42415885507538,2523.6,0.95,3.01411,3.80417,NA,NA,NA,NA,NA,NA,NA
"tau",148636.148770246,148596,148604.358976977,441.3,0.95,140271,156832,NA,NA,NA,NA,NA,NA,NA
"zVar",370.495450509898,370.396,370.416404475226,441.3,0.95,349.645,390.925,NA,NA,NA,NA,NA,NA,NA
"pred[1]",1245.5425194961,1245.47,1245.6775741812,494.9,0.95,1204.02,1289.34,NA,NA,NA,NA,NA,NA,NA
"pred[2]",1247.41817236553,1247.38,1247.83686679195,493.5,0.95,1206.09,1291.23,NA,NA,NA,NA,NA,NA,NA
"pred[3]",1261.01316936613,1260.85,1261.09934584965,498.2,0.95,1217.97,1303.58,NA,NA,NA,NA,NA,NA,NA
"pred[4]",1262.21570685863,1262.02,1262.4144177645,479.4,0.95,1220.78,1306.39,NA,NA,NA,NA,NA,NA,NA
"pred[5]",1253.19372125575,1253.04,1253.43647376242,493.8,0.95,1212.06,1297.22,NA,NA,NA,NA,NA,NA,NA
"pred[6]",1413.08181963607,1412.6,1411.18156936118,491.7,0.95,1363.19,1464.7,NA,NA,NA,NA,NA,NA,NA
"pred[7]",1412.3725054989,1411.91,1410.55843192016,489.8,0.95,1362.19,1463.29,NA,NA,NA,NA,NA,NA,NA
"pred[8]",1432.40542091582,1432.05,1432.04501740873,503.5,0.95,1383.34,1486.03,NA,NA,NA,NA,NA,NA,NA
