"sampling_size","seed","rf_cum_3_day_p_value","temperature_p_value","ws_p_value","deg_from_north_p_value","dow_p_value","working_days_p_value","hour_p_value","pre_peak_hour_p_value","pm10_p_value","duration","trial_number","mean_p_value"
100,166,0.886127857518181,0.561547557026244,0.650010804409567,0.584085263292664,0.999960550711809,1,0.435616491999607,1,0.317691091581333,29.1008689403534,1,0.715004401837712
500,166,0.999635890152448,0.759633646632779,0.358625613240976,0.955289485341746,0.992727521879082,1,0.338499677327687,1,0.814202777829106,46.9280331134796,2,0.802068290267092
1000,166,0.690623380343054,0.629864410185957,0.120843903300513,0.874285244370688,0.988457138543308,0.999973525810694,0.388230030060598,1,0.101262650096523,72.1105999946594,3,0.643726698079037
2000,166,0.61111179212627,0.267375282858156,0.564403108772828,0.998138963198329,0.836834236074739,1,0.946775679084272,1,0.819521062029283,127.934686899185,4,0.782684458238208
2500,166,0.898224313893644,0.075631109504501,0.602936169443319,0.712976395217935,0.727193444234609,0.999907084886109,0.765503141902991,1,0.869650347063601,156.819911003113,5,0.739113556238523
5000,166,0.459797830379837,0.268825070564273,0.507725172020419,0.831947760517239,0.999921626640615,1,0.627684222114928,1,0.955354761122681,310.138774871826,6,0.739028493706666
100,6182,0.452736164938818,0.17176931318253,0.0144145931500911,0.0259023549720846,0.975063578195948,1,0.515801878333803,1,0.968994293162085,27.9172489643097,7,0.569409130659484
500,6182,0.807350419189165,0.585574715406571,0.316511719048981,0.992538426167302,0.994926880157694,1,0.866732457297232,1,0.567075575661602,44.2858791351318,8,0.792301132547616
1000,6182,0.526318380074655,0.403616960622965,0.0946889180155273,0.273646134830676,0.983686178082559,1,0.999158675007747,0.99999616196888,0.457679115188333,71.8543469905853,9,0.637643391532371
2000,6182,0.725247197371948,0.958787507016967,0.15673660780833,0.0934485051250439,0.613445513228813,1,0.444151083425361,0.988540578339866,0.787780227651486,128.596507072449,10,0.64090413555198
2500,6182,0.94429843371808,0.785509227979395,0.173197232936104,0.141684156839286,0.99998818961756,0.999999999999822,0.727446500088786,1,0.93396493285668,153.685744047165,11,0.745120963781746
5000,6182,0.981759411548806,0.850495541497023,0.0539791847590962,0.5904027919168,0.997455075474267,1,0.999990373460386,0.999951157400186,0.989614966091998,294.934667825699,12,0.829294278016507
100,5119,0.794547405023637,0.94576847666062,0.503689391331506,0.991806370903144,0.383442195485307,0.877704709668596,0.262733178753576,0.540802957544712,0.361606060249093,32.260390996933,13,0.62912230506891
500,5119,0.89457186810176,0.959555866465017,0.252295774356148,0.415319780579925,0.808836865867286,0.864742392073906,0.469544019460444,0.999960184987337,0.938368455208384,47.8289880752563,14,0.733688356344467
1000,5119,0.327021765100174,0.97376327270953,0.22514722414898,0.316556283097693,0.109410783817538,0.433954871530992,0.520646473341632,1,0.343651454382122,83.5984117984772,15,0.472239125347629
2000,5119,0.566448100322631,0.262509587250175,0.549681934866961,0.648662591156958,0.976732115116794,0.976732115116796,0.682031255291827,1,0.0986333761065661,134.0462641716,16,0.640159008358745
2500,5119,0.485280932513051,0.553052320683878,0.58017106044249,0.457954573202444,0.999999999800108,0.999999999800108,0.479986576514753,1,0.0523524309665919,164.226289987564,17,0.623199765991492
5000,5119,0.999127172908265,0.911778191757157,0.96539483620244,0.824913827371409,0.996710168591363,0.998708884732763,0.999998097041399,1,0.926496448183459,298.025772809982,18,0.958125291865362
100,4570,0.541704827031676,0.65357328834487,0.384933764874616,0.732783876857723,0.999999986695002,0.999999999999978,0.920289731571564,0.999987896644389,0.614003171867864,29.5624079704285,19,0.760808504876409
500,4570,0.467911209734335,0.619838049891856,0.566694978979845,0.102169818214727,0.963573972758396,1,0.896341143382393,0.999425755355555,0.866609307382353,44.7499399185181,20,0.720284915077718
1000,4570,0.774852168574602,0.893940278959975,0.54685222165148,0.0427357194184561,0.947417208207621,0.999841125200303,0.984144501374515,0.863434438176564,0.966322567870507,69.8238651752472,21,0.779948914381558
2000,4570,0.635034939322893,0.987282639002441,0.357241949772571,0.449429013031177,0.895384945908261,0.999955422950389,0.96950282179724,0.991128982185809,0.386408064970094,140.675822973251,22,0.741263197660097
2500,4570,0.991517632195001,0.996172079392223,0.331571964158675,0.35136424143087,0.996509167212386,0.999999951672568,0.994558686385882,0.999999973503176,0.615614838258689,165.725528001785,23,0.808589837134385
5000,4570,0.975967881644636,0.88715454701876,0.196289899345388,0.408427778853246,0.59321484524509,0.999999999971853,0.961477383381636,1,0.561704459059905,319.819622039795,24,0.731581866057835
100,1863,0.212973718480242,0.360008853765971,0.40142314898047,0.398208122806964,0.383442195485307,0.877704709668596,0.80185777240422,0.861028129390318,0.408082001264102,28.5283029079437,25,0.522747628027355
500,1863,0.958239509148548,0.990547718227714,0.533978147522668,0.353903081275687,0.998405292514614,0.999997496441012,0.49918365946341,0.535642127461984,0.0942875408063125,50.9793720245361,26,0.662687174762439
1000,1863,0.74009309361912,0.700799532350412,0.978969557307067,0.705587696887614,0.280657385754981,0.280657385754976,0.475588423794979,0.999999999412821,0.0935938091365049,80.171777009964,27,0.583994098224275
2000,1863,0.419134643833653,0.495511143889012,0.707718649249519,0.588351241188394,0.993185103895452,0.993185103895451,0.747320824571032,0.999999960984864,0.093973815763896,151.183028936386,28,0.670931165252364
2500,1863,0.128137943269946,0.582007515055584,0.684603235295387,0.679468789273896,0.841614540488126,0.841614540488116,0.906869905411257,0.999944440280111,0.0819084162551286,192.994995117188,29,0.638463258424172
5000,1863,0.0714187646082237,0.544651479387971,0.815968280995976,0.648942533369884,0.964421014132362,0.964421014132356,0.495590652065569,0.999999999946663,0.506936814854091,361.050368070602,30,0.668038950388122
100,3927,0.593086205630714,0.975483880037639,0.695837604198257,0.0159634884002307,0.999999986695002,0.999999999999978,0.312552751645913,0.390171724104497,0.9226093732092,30.7568249702454,31,0.65618944599127
500,3927,0.993338373105216,0.509775956739172,0.406853391875146,0.693321616494436,0.408097924805095,0.656634062994287,0.220628723045811,0.756599152103004,0.415456053734235,48.3125441074371,32,0.562300583877378
1000,3927,0.620407312911264,0.947184377432272,0.398903884654107,0.41556295866511,0.684594263493322,0.684594263493327,0.615837387586789,0.976997597599223,0.57734073686875,83.559693813324,33,0.657935864744907
